Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-1,Frmpd1,0.018,0.053,0.339622642,0.036424006,-1.43318605
PVT-2,Esm1,0.016,0.047,0.340425532,0.002036683,-1.562088146
PVT-2,Rin1,0.016,0.047,0.340425532,0.003859559,-1.519019424
PVT-3,Hoga1,0.064,0.188,0.340425532,0.008858357,-1.59950993
PVT-2,Mboat1,0.143,0.42,0.34047619,2.05E-70,-1.609160056
PVT-2,Gm30373,0.015,0.044,0.340909091,0.013178462,-1.544298833
PVT-4,Klhl5,0.077,0.224,0.34375,7.69E-07,-1.777559708
PVT-2,Gck,0.131,0.381,0.343832021,2.22E-62,-1.774057084
PVT-4,Mrvi1,0.063,0.183,0.344262295,0.000156344,-1.719646666
PVT-3,Mcf2,0.208,0.604,0.344370861,7.14E-30,-1.897941383
PVT-1,Fkbp9,0.031,0.09,0.344444444,7.79E-06,-1.697663873
PVT-1,Pdzd2,0.091,0.264,0.34469697,3.40E-28,-1.966155551
PVT-2,Ak8,0.06,0.174,0.344827586,9.14E-22,-1.66365114
PVT-3,Cobll1,0.079,0.229,0.344978166,0.000235954,-1.461747232
PVT-3,Ell2,0.136,0.394,0.345177665,2.78E-13,-1.997356677
PVT-2,Parm1,0.092,0.266,0.345864662,9.83E-38,-1.780542004
PVT-1,Gda,0.027,0.078,0.346153846,0.000161849,-1.932208219
PVT-1,Sulf2,0.025,0.072,0.347222222,0.000406354,-1.98511975
PVT-2,Myof,0.016,0.046,0.347826087,0.008195738,-1.428821615
PVT-3,Junos,0.072,0.207,0.347826087,0.001514199,-1.644940178
PVT-2,Gfra1,0.146,0.419,0.348448687,2.02E-69,-1.683286742
PVT-4,Ptk2b,0.102,0.292,0.349315068,8.65E-11,-1.886409415
PVT-2,Hopx,0.035,0.1,0.35,4.22E-10,-1.492951953
PVT-4,Myo1b,0.099,0.282,0.35106383,1.10E-09,-1.71678458
PVT-2,Gm12064,0.032,0.091,0.351648352,8.51E-09,-1.527831621
PVT-3,Osbpl3,0.234,0.665,0.351879699,1.39E-39,-2.355993123
PVT-4,Gm48748,0.05,0.142,0.352112676,0.015173118,-1.63673424
PVT-2,Gm20658,0.092,0.26,0.353846154,9.26E-35,-1.531456528
PVT-2,Tmcc3os,0.023,0.065,0.353846154,3.59E-05,-1.541589546
PVT-2,Gm15810,0.016,0.045,0.355555556,0.008585229,-1.512237624
PVT-3,Mrvi1,0.064,0.18,0.355555556,0.026940199,-1.683202534
PVT-3,Sh3bp4,0.136,0.382,0.356020942,2.07E-11,-1.649414221
PVT-3,Kcnmb2,0.234,0.657,0.356164384,2.01E-34,-2.121720825
PVT-2,Anxa2,0.035,0.098,0.357142857,1.67E-09,-1.503518983
PVT-5,Sema5b,0.184,0.515,0.357281553,1.84E-16,-1.999832798
PVT-3,Abcc8,0.064,0.179,0.357541899,0.034278551,-1.558642837
PVT-2,Gm15943,0.044,0.123,0.357723577,1.64E-12,-1.267540708
PVT-3,Unc5b,0.132,0.369,0.357723577,1.94E-10,-1.485796796
PVT-1,Tmem44,0.034,0.095,0.357894737,4.67E-06,-2.07017552
PVT-2,Tctex1d1,0.034,0.095,0.357894737,3.95E-09,-1.408063055
PVT-1,Herc6,0.024,0.067,0.358208955,0.003213006,-1.668805262
PVT-3,Kcnip3,0.094,0.26,0.361538462,1.24E-05,-1.872132197
PVT-2,Pi16,0.017,0.047,0.361702128,0.010381935,-1.460530475
PVT-4,Lats2,0.055,0.152,0.361842105,0.01199903,-1.440180476
PVT-2,Lpar1,0.118,0.326,0.36196319,1.14E-46,-1.568829094
PVT-4,Crybg1,0.063,0.174,0.362068966,0.001092133,-1.503774911
PVT-3,Elmod1,0.113,0.312,0.362179487,6.39E-08,-1.789307918
PVT-3,Cacna1i,0.155,0.426,0.363849765,2.74E-14,-1.768971929
PVT-5,Slc30a3,0.094,0.258,0.364341085,0.002237557,-1.453290459
PVT-4,Gm20713,0.16,0.439,0.364464692,7.77E-21,-2.0024911
PVT-2,Drd3,0.113,0.31,0.364516129,4.55E-42,-1.524836751
PVT-2,Gfra2,0.031,0.085,0.364705882,1.92E-07,-1.496993118
PVT-4,Elmod1,0.116,0.318,0.364779874,5.14E-12,-1.877104402
PVT-4,Onecut2,0.085,0.233,0.364806867,1.74E-06,-1.540707352
PVT-2,Sema3f,0.057,0.156,0.365384615,4.88E-17,-1.3992485
PVT-2,Pde6h,0.019,0.052,0.365384615,0.003863931,-1.290115345
PVT-3,Rnf207,0.091,0.249,0.365461847,6.58E-05,-1.659721101
PVT-2,Ppef1,0.037,0.101,0.366336634,1.58E-09,-1.383834161
PVT-4,Tmem26,0.083,0.226,0.367256637,2.17E-06,-1.743145167
PVT-2,Maf,0.046,0.125,0.368,1.04E-12,-1.676749129
PVT-3,Tspan12,0.098,0.266,0.368421053,2.55E-05,-1.595874619
PVT-5,Rab3b,0.118,0.32,0.36875,2.00E-06,-2.105224217
PVT-4,Sema5b,0.196,0.529,0.370510397,3.72E-29,-1.880920322
PVT-3,Hs3st5,0.238,0.642,0.370716511,1.56E-36,-2.496637267
PVT-1,Cnih3,0.044,0.118,0.372881356,9.23E-08,-1.765206613
PVT-4,Adamts16,0.207,0.555,0.372972973,1.59E-31,-1.835967496
