Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-3,Gm1604a,0.683,0.44,1.552272727,2.88E-14,0.980143514
PVT-2,Chd7,0.233,0.15,1.553333333,3.55E-07,0.916038262
PVT-3,Ampd3,0.46,0.296,1.554054054,0.000256999,0.703297562
PVT-3,Ccdc93,0.509,0.327,1.556574924,2.15E-05,0.656647469
PVT-3,Fads2,0.453,0.291,1.556701031,0.00020383,0.723963737
PVT-5,Rimklb,0.458,0.294,1.557823129,0.040767497,0.555439418
PVT-1,Gm2087,0.371,0.238,1.558823529,3.99E-11,0.583367726
PVT-1,Sulf1,0.887,0.569,1.55887522,1.77E-113,1.165531597
PVT-2,Lef1,0.82,0.526,1.558935361,1.73E-92,1.309919249
PVT-3,Prex2,0.362,0.232,1.560344828,0.010600408,0.81607477
PVT-3,Rbks,0.362,0.232,1.560344828,0.025699043,0.732883054
PVT-2,Calb1,0.754,0.483,1.561076605,9.98E-65,0.916432186
PVT-3,P2ry12,0.517,0.331,1.561933535,1.72E-06,0.858930994
PVT-5,Greb1l,0.528,0.338,1.562130178,0.000208098,0.698848029
PVT-4,Vgf,0.314,0.201,1.562189055,0.001545038,1.098469071
PVT-3,Dleu2,0.547,0.35,1.562857143,4.43E-09,0.963971151
PVT-1,Amot,0.324,0.207,1.565217391,6.48E-09,0.555126104
PVT-4,Celf6,0.595,0.38,1.565789474,2.92E-15,0.920310518
PVT-3,Tbc1d16,0.498,0.318,1.566037736,5.41E-06,0.798426164
PVT-2,Usp35,0.141,0.09,1.566666667,0.02445727,0.735978354
PVT-3,Nsun7,0.611,0.39,1.566666667,4.35E-09,0.759443038
PVT-3,Gm26827,0.475,0.303,1.567656766,1.49E-06,0.990688276
PVT-5,Ppp2r5d,0.439,0.28,1.567857143,0.016756683,0.658387691
PVT-2,Ntn4,0.196,0.125,1.568,5.32E-05,0.788259451
PVT-2,Gm37459,0.262,0.167,1.568862275,8.43E-09,0.84313802
PVT-3,Sh3bp5,0.449,0.286,1.56993007,0.000123563,0.81705221
PVT-3,Gm10135,0.347,0.221,1.570135747,0.031387572,0.729452777
PVT-2,Trhde,0.132,0.084,1.571428571,0.022316538,0.987743354
PVT-2,Itpr2,0.14,0.089,1.573033708,0.013730009,0.94083521
PVT-2,Zfp934,0.192,0.122,1.573770492,7.84E-05,0.774118443
PVT-3,Elovl4,0.362,0.23,1.573913043,0.013934235,0.74145031
PVT-1,Prex1,0.159,0.101,1.574257426,0.032808219,0.455452841
PVT-2,Glrx,0.137,0.087,1.574712644,0.033019413,0.738501591
PVT-1,Tacr3,0.241,0.153,1.575163399,1.95E-05,0.495680198
PVT-3,Gm42477,0.419,0.266,1.57518797,0.000690116,0.734845164
PVT-3,Drc1,0.358,0.227,1.577092511,0.01105745,0.739275389
PVT-2,Ephb3,0.131,0.083,1.578313253,0.04118058,0.754778323
PVT-4,Zfpm2,0.862,0.546,1.578754579,4.12E-57,1.589927549
PVT-4,Greb1l,0.521,0.33,1.578787879,3.60E-09,0.728083904
PVT-3,Lman2l,0.6,0.38,1.578947368,1.38E-09,0.799482247
PVT-3,Trit1,0.517,0.327,1.581039755,5.45E-07,0.764971692
PVT-3,Gm19461,0.457,0.289,1.581314879,3.64E-05,0.777916324
PVT-5,Dpy19l1,0.533,0.337,1.581602374,1.13E-06,0.925288805
PVT-5,Mtus1,0.41,0.259,1.583011583,0.038169543,0.641993895
PVT-4,Tafa1,0.73,0.461,1.5835141,1.86E-32,1.388092099
PVT-2,Esrrg,0.198,0.125,1.584,3.39E-06,1.091471458
PVT-3,Spryd7,0.347,0.219,1.584474886,0.0251443,0.67665316
PVT-1,Ankrd35,0.168,0.106,1.58490566,0.008124413,0.638124833
PVT-3,Rnpep,0.566,0.357,1.585434174,1.66E-08,0.879773153
PVT-3,Serpini1,0.574,0.362,1.585635359,6.35E-06,0.579057686
PVT-1,Rasal1,0.433,0.273,1.586080586,1.24E-14,0.574902987
PVT-1,Jph1,0.538,0.339,1.587020649,1.02E-26,0.792950776
PVT-3,Lmln,0.408,0.257,1.587548638,0.000419099,0.787835132
PVT-3,Limch1,0.875,0.551,1.588021779,3.55E-47,1.438467299
PVT-3,Acsl1,0.532,0.335,1.588059701,1.33E-07,0.792374118
PVT-1,Grhl1,0.221,0.139,1.589928058,4.81E-05,0.586052786
PVT-3,Angptl2,0.525,0.33,1.590909091,1.09E-05,0.631245595
PVT-3,Fxyd6,0.374,0.235,1.591489362,0.015265086,0.673010915
PVT-4,Eda,0.355,0.223,1.591928251,0.000386634,0.829489003
PVT-1,Gm48748,0.18,0.113,1.592920354,0.001574201,0.647007858
PVT-2,Adcy7,0.137,0.086,1.593023256,0.016331912,0.791376593
PVT-4,Slc37a1,0.38,0.238,1.596638655,0.000116691,0.709447345
PVT-4,Cfap61,0.388,0.243,1.596707819,1.32E-05,0.806727867
PVT-2,Rell1,0.179,0.112,1.598214286,5.75E-05,0.900126907
PVT-4,Vat1l,0.785,0.491,1.598778004,8.00E-45,1.448088644
PVT-5,B3glct,0.566,0.354,1.598870056,6.96E-07,0.888277471
PVT-5,Lbh,0.392,0.245,1.6,0.017602595,0.772119281
PVT-5,Hsd17b7,0.392,0.245,1.6,0.031508894,0.699525192
PVT-2,Nacc2,0.317,0.198,1.601010101,1.09E-13,0.8892797
PVT-3,Sgcd,0.879,0.549,1.601092896,6.28E-67,2.330495439
PVT-3,Kif17,0.449,0.28,1.603571429,1.39E-05,0.850464041
PVT-4,Cfap300,0.438,0.273,1.604395604,1.05E-07,0.814564086
PVT-3,Slitrk5,0.336,0.209,1.607655502,0.024138573,0.783280907
PVT-5,Vipr2,0.505,0.314,1.608280255,0.000418846,0.706126641
PVT-4,Mettl9,0.375,0.233,1.60944206,4.82E-06,0.862792992
PVT-4,Gm15577,0.612,0.38,1.610526316,2.38E-15,0.872960717
PVT-3,Slc35f4,0.74,0.459,1.612200436,3.81E-20,1.115492936
PVT-2,Parva,0.2,0.124,1.612903226,2.26E-06,0.842164914
PVT-3,Pparg,0.355,0.22,1.613636364,0.000736873,0.920441388
PVT-4,Gm45645,0.581,0.36,1.613888889,4.65E-17,1.087622658
PVT-3,Vipr2,0.502,0.311,1.61414791,2.58E-06,0.724392075
PVT-4,Efnb2,0.273,0.169,1.615384615,0.01349744,0.758187103
PVT-3,Pde9a,0.774,0.479,1.615866388,6.25E-26,1.079079628
PVT-3,Parp11,0.404,0.25,1.616,0.000658169,0.750448979
PVT-1,Stxbp2,0.16,0.099,1.616161616,0.00613206,0.601494376
PVT-3,Pnma3,0.377,0.233,1.618025751,0.003097418,0.705456774
PVT-3,Gm28756,0.411,0.254,1.618110236,2.93E-05,0.924419793
PVT-3,Wipf3,0.494,0.305,1.619672131,2.52E-06,0.787680503
PVT-5,Gm47664,0.42,0.259,1.621621622,0.00394442,0.735838509
PVT-1,Kcnj5,0.339,0.209,1.622009569,2.66E-09,0.363608404
PVT-5,Dleu2,0.571,0.352,1.622159091,4.54E-06,0.73650326
PVT-3,Ptpro,0.86,0.53,1.622641509,4.46E-49,1.452603089
PVT-3,Rab3b,0.479,0.295,1.623728814,0.00021359,0.474102981
PVT-3,Fbxo36,0.419,0.258,1.624031008,6.49E-05,0.972149294
PVT-3,Nek10,0.645,0.397,1.624685139,1.35E-13,1.039031751
PVT-3,Kazn,0.63,0.387,1.627906977,1.13E-15,1.103458793
PVT-2,Trpc6,0.29,0.178,1.629213483,6.37E-14,1.101908574
PVT-3,Mest,0.479,0.294,1.629251701,6.64E-08,0.958451445
PVT-4,Dctd,0.248,0.152,1.631578947,0.013287096,0.960952502
PVT-4,St6gal1,0.328,0.201,1.631840796,0.000292196,0.808153465
PVT-1,Gm10837,0.142,0.087,1.632183908,0.022133289,0.620359768
PVT-2,Abhd12b,0.16,0.098,1.632653061,6.00E-05,1.33461619
PVT-4,Slc16a2,0.24,0.147,1.632653061,0.022440846,0.960751331
PVT-3,Polr3e,0.317,0.194,1.634020619,0.035388335,0.756438238
PVT-3,Gm50152,0.438,0.268,1.634328358,1.77E-06,0.917196611
PVT-3,Csmd2os,0.34,0.208,1.634615385,0.004062489,0.834760521
PVT-1,Stac,0.206,0.126,1.634920635,2.91E-05,0.63606685
PVT-3,Pknox2,0.638,0.39,1.635897436,5.62E-16,1.090456358
PVT-2,Grip2,0.257,0.157,1.636942675,2.42E-10,0.851883817
PVT-5,Syt10,0.547,0.334,1.637724551,8.57E-05,0.585067362
PVT-3,Pcolce2,0.623,0.379,1.643799472,4.39E-14,0.994175601
PVT-2,Myh14,0.148,0.09,1.644444444,0.001117726,0.795738643
PVT-4,Plxna4os3,0.38,0.231,1.645021645,2.92E-07,0.913605296
PVT-2,Fhdc1,0.153,0.093,1.64516129,0.000246758,0.904776473
PVT-2,Igsf11,0.135,0.082,1.646341463,0.001689667,0.994253203
PVT-3,Lrrn3,0.675,0.41,1.646341463,1.40E-19,1.151230908
PVT-3,Rilpl1,0.298,0.181,1.64640884,0.045353016,0.747872229
PVT-4,Il6ra,0.275,0.167,1.646706587,0.001337899,0.904281656
PVT-1,Gabrg1,0.634,0.385,1.646753247,1.06E-32,0.702679787
PVT-5,Galnt7,0.443,0.269,1.646840149,0.000505224,0.802889639
PVT-2,Lgi2,0.145,0.088,1.647727273,0.001013447,0.909628935
PVT-4,Ctnna1,0.435,0.264,1.647727273,4.70E-09,0.957327491
PVT-3,Gm15478,0.351,0.213,1.647887324,0.006585578,0.720157988
PVT-1,Cbln4,0.221,0.134,1.649253731,4.88E-06,0.649830886
PVT-3,Cemip2,0.475,0.288,1.649305556,6.74E-07,0.860123641
PVT-5,Ano3,0.594,0.36,1.65,3.43E-09,1.162425591
PVT-3,Parvb,0.426,0.258,1.651162791,4.07E-07,1.117158635
PVT-1,Prss48,0.218,0.132,1.651515152,3.44E-06,0.705996303
PVT-2,Stard5,0.124,0.075,1.653333333,0.007750712,0.894978894
PVT-4,Cbln4,0.248,0.15,1.653333333,0.019941093,0.782632152
PVT-1,Gm50214,0.215,0.13,1.653846154,2.91E-06,0.743199
PVT-2,Abcc8,0.215,0.13,1.653846154,4.85E-08,0.918373238
PVT-3,Gm29587,0.306,0.185,1.654054054,0.036845211,0.745003343
PVT-2,Sirpa,0.384,0.232,1.655172414,1.05E-22,1.026030398
PVT-3,Sema5a,0.883,0.533,1.656660413,1.03E-50,1.590974613
PVT-3,Glra3,0.343,0.207,1.657004831,0.00233217,0.949763214
PVT-2,Jam2,0.199,0.12,1.658333333,1.54E-07,1.050714531
PVT-3,Spata6,0.34,0.205,1.658536585,0.000850671,0.982875701
PVT-3,Ablim2,0.826,0.498,1.658634538,8.08E-39,1.457533233
PVT-3,Mok,0.453,0.273,1.659340659,2.15E-06,0.843382276
PVT-3,Fam229b,0.332,0.2,1.66,0.004226783,0.819653056
PVT-5,Gm48091,0.533,0.321,1.660436137,7.59E-05,0.579376991
PVT-1,Adamtsl3,0.186,0.112,1.660714286,6.22E-05,0.676652459
PVT-3,Mapk6,0.377,0.227,1.660792952,0.000328118,0.849292547
PVT-4,Gfra1,0.452,0.272,1.661764706,4.18E-09,0.80492642
PVT-1,Plch2,0.449,0.27,1.662962963,8.30E-21,0.759483731
PVT-2,Map3k5,0.469,0.282,1.663120567,7.04E-34,1.093996364
PVT-1,Man1a,0.371,0.223,1.66367713,2.19E-14,0.687056435
PVT-3,Cpne2,0.426,0.256,1.6640625,1.85E-06,0.946274075
PVT-5,Ppp1r14c,0.679,0.408,1.664215686,5.09E-14,1.039551973
PVT-2,Prlr,0.726,0.436,1.665137615,6.30E-63,0.963081061
PVT-1,Nek11,0.125,0.075,1.666666667,0.042674376,0.70399755
PVT-3,Efcab1,0.668,0.4,1.67,8.97E-21,1.173935026
PVT-1,Cald1,0.304,0.182,1.67032967,6.26E-12,0.880178499
PVT-1,Dkk2,0.124,0.074,1.675675676,0.020880313,0.781681073
PVT-4,Iqgap2,0.275,0.164,1.676829268,0.000863831,0.885557403
PVT-1,Angpt1,0.188,0.112,1.678571429,2.14E-05,0.729100921
PVT-2,Rbms1,0.853,0.508,1.679133858,1.37E-145,1.474794495
PVT-3,Msi1,0.279,0.166,1.680722892,0.033502154,0.880319442
PVT-3,Nucb2,0.306,0.182,1.681318681,0.018117915,0.770652097
PVT-3,Lypd1,0.449,0.267,1.68164794,1.43E-06,0.829180851
PVT-2,Ptk2b,0.347,0.206,1.684466019,1.19E-21,1.161229762
PVT-2,Kcnf1,0.123,0.073,1.684931507,0.003939705,0.891168675
PVT-1,Cdh22,0.145,0.086,1.686046512,0.002430988,0.657086702
PVT-3,Tsc22d4,0.457,0.271,1.686346863,4.22E-06,0.759822917
PVT-4,Nnat,0.515,0.305,1.68852459,6.70E-15,1.176770297
PVT-3,Micall1,0.426,0.252,1.69047619,1.78E-07,1.070327137
PVT-2,Fign,0.727,0.43,1.690697674,8.45E-53,0.509684689
PVT-3,Agbl5,0.325,0.192,1.692708333,0.00759784,0.692410821
PVT-3,Notch2,0.381,0.225,1.693333333,5.02E-05,0.980344656
PVT-2,Morc2b,0.249,0.147,1.693877551,2.81E-11,0.955475673
PVT-3,Mttp,0.449,0.265,1.694339623,2.51E-06,0.768674086
PVT-2,Neb,0.161,0.095,1.694736842,1.70E-05,0.977007737
PVT-3,Itpkb,0.419,0.247,1.696356275,6.52E-06,0.897655568
PVT-1,Kcnmb4,0.448,0.264,1.696969697,3.69E-24,0.862675761
PVT-3,Tmem266,0.426,0.251,1.697211155,1.02E-06,0.981954807
PVT-3,Rnf182,0.623,0.367,1.697547684,2.51E-14,0.951189676
PVT-4,Arsj,0.399,0.235,1.69787234,6.05E-08,0.823389213
PVT-2,Cnksr3,0.379,0.223,1.69955157,1.97E-24,1.146133712
PVT-3,Gm16226,0.43,0.253,1.699604743,5.95E-06,0.782588265
PVT-3,Gnb4,0.464,0.273,1.6996337,1.49E-06,0.770515433
PVT-3,Prkab2,0.415,0.244,1.700819672,9.94E-07,1.04458461
PVT-4,Speg,0.463,0.272,1.702205882,4.01E-11,0.932498682
PVT-1,Gm20319,0.189,0.111,1.702702703,2.58E-05,0.623689492
PVT-3,Nnat,0.528,0.31,1.703225806,2.60E-12,1.12906719
PVT-1,Nfil3,0.121,0.071,1.704225352,0.035833169,0.726754863
PVT-1,St8sia2,0.36,0.211,1.706161137,3.67E-16,0.760913724
PVT-2,Shroom4,0.343,0.201,1.706467662,3.13E-21,1.077549879
PVT-2,Arap2,0.338,0.198,1.707070707,1.83E-20,1.141404342
PVT-4,Gm15398,0.507,0.297,1.707070707,5.57E-11,0.539790563
PVT-2,Cdc25b,0.152,0.089,1.707865169,5.03E-05,0.954306636
PVT-2,Gm47027,0.164,0.096,1.708333333,1.17E-05,0.912583854
PVT-4,Wscd2,0.477,0.279,1.709677419,2.43E-12,0.92174309
PVT-4,Gm47661,0.383,0.224,1.709821429,3.61E-08,0.977069907
PVT-3,Adamts3,0.325,0.19,1.710526316,0.001611882,0.928193374
PVT-1,Crybg1,0.231,0.135,1.711111111,1.59E-08,0.795602438
PVT-1,Myo3b,0.154,0.09,1.711111111,0.000697548,0.670892502
PVT-4,Gpr37,0.259,0.151,1.715231788,0.001493135,0.901514977
PVT-3,Mta3,0.736,0.429,1.715617716,5.19E-26,1.181177334
PVT-3,Plch2,0.525,0.306,1.715686275,1.16E-08,0.804309356
PVT-4,Ehbp1l1,0.242,0.141,1.716312057,0.003596153,0.919488069
PVT-3,Acad10,0.321,0.187,1.71657754,0.002645377,0.811766535
PVT-1,Gm3364,0.189,0.11,1.718181818,5.79E-06,0.749506247
PVT-3,Vat1l,0.849,0.494,1.718623482,7.89E-54,1.726179937
PVT-3,Mettl9,0.404,0.235,1.719148936,3.11E-06,0.986536849
PVT-3,Myh9,0.54,0.314,1.719745223,3.41E-13,1.213641398
PVT-1,Ccdc162,0.179,0.104,1.721153846,2.22E-05,0.736905247
PVT-3,Rsph3a,0.291,0.169,1.721893491,0.008580415,0.891112722
PVT-1,Hunk,0.236,0.137,1.722627737,3.89E-09,0.829987875
PVT-4,Kcnh8,0.92,0.534,1.722846442,1.68E-84,1.622971575
PVT-4,Efnb3,0.262,0.152,1.723684211,0.000820582,0.900998098
PVT-3,Ackr4,0.283,0.164,1.725609756,0.014853045,0.817112141
PVT-3,Zfp516,0.321,0.186,1.725806452,0.001947118,0.819077934
PVT-1,Catsperg1,0.19,0.11,1.727272727,7.69E-06,0.638145138
PVT-5,Creg1,0.439,0.254,1.728346457,1.78E-05,0.916310737
PVT-3,Rhoq,0.325,0.188,1.728723404,0.000785956,0.89991862
PVT-1,Egfl6,0.18,0.104,1.730769231,1.25E-05,0.773569322
PVT-3,Gm49961,0.483,0.279,1.731182796,4.60E-10,1.090049735
PVT-3,Gm42609,0.419,0.242,1.731404959,1.17E-06,0.95620775
PVT-3,Gm26658,0.298,0.172,1.73255814,0.003291491,0.909112633
PVT-4,Hunk,0.267,0.154,1.733766234,0.000346646,0.917134715
PVT-2,Xylt1,0.522,0.301,1.734219269,8.62E-55,1.474545914
PVT-3,Gm11099,0.649,0.374,1.735294118,5.39E-22,1.259544983
PVT-2,Gbe1,0.328,0.189,1.735449735,5.22E-22,1.44014942
PVT-3,Fam126a,0.415,0.239,1.736401674,4.17E-07,1.07789546
PVT-3,Catspere2,0.679,0.391,1.73657289,3.31E-23,1.285587666
PVT-3,Rgl1,0.721,0.415,1.737349398,6.37E-27,1.265271446
PVT-3,Arhgap42,0.536,0.308,1.74025974,7.15E-14,1.191605882
PVT-2,Mkx,0.785,0.451,1.740576497,2.91E-78,0.928844366
PVT-3,Slc22a4,0.392,0.225,1.742222222,2.67E-06,0.967734004
PVT-3,Wwc2,0.46,0.264,1.742424242,2.20E-08,0.952707478
PVT-1,Gm20658,0.258,0.148,1.743243243,3.89E-10,0.681781677
PVT-2,Myo1b,0.34,0.195,1.743589744,4.45E-21,1.011531505
PVT-5,Ksr1,0.429,0.246,1.743902439,0.000126096,0.820703159
PVT-4,Rasal1,0.518,0.297,1.744107744,8.17E-15,0.936320012
PVT-3,Gm45323,0.789,0.452,1.745575221,1.15E-38,1.602549726
PVT-2,Cast,0.332,0.19,1.747368421,1.50E-19,1.009644268
PVT-1,Arhgef26,0.521,0.298,1.748322148,2.32E-31,0.856913676
PVT-1,Cmtr2,0.168,0.096,1.75,3.69E-05,0.762378772
PVT-3,Pygo1,0.347,0.198,1.752525253,0.000176434,0.868309773
PVT-4,Rgmb,0.27,0.154,1.753246753,0.000139448,0.944383222
PVT-1,Kctd15,0.242,0.138,1.753623188,2.12E-09,0.725258205
PVT-3,Psd2,0.43,0.245,1.755102041,4.69E-08,1.044902366
PVT-3,Bcl11a,0.642,0.365,1.75890411,4.03E-21,1.358046745
PVT-4,Myo16,0.614,0.349,1.759312321,1.60E-21,0.968185091
PVT-3,Mast3,0.4,0.227,1.762114537,9.24E-07,0.958474357
PVT-3,Rimklb,0.506,0.287,1.763066202,3.10E-10,0.965624492
PVT-4,Impg2,0.201,0.114,1.763157895,0.029549396,0.885698961
PVT-2,Shisa6,0.39,0.221,1.764705882,2.53E-35,1.76061676
PVT-3,Gm20658,0.302,0.171,1.766081871,0.000462328,1.086331744
PVT-2,Pou6f2,0.281,0.159,1.767295597,3.38E-17,1.263434899
PVT-2,Zfp385b,0.859,0.486,1.767489712,1.81E-160,1.647097872
PVT-3,Gm41361,0.389,0.22,1.768181818,3.95E-06,0.912028302
PVT-4,Mboat1,0.474,0.268,1.768656716,9.91E-13,0.963151733
PVT-3,Ninl,0.294,0.166,1.771084337,0.004705309,0.82862321
PVT-3,St6gal1,0.358,0.202,1.772277228,6.64E-06,1.097140549
PVT-1,Afap1l1,0.126,0.071,1.774647887,0.001664685,0.785485985
PVT-4,Gm19744,0.19,0.107,1.775700935,0.046592254,0.929434747
PVT-5,Htr1f,0.325,0.183,1.775956284,0.006346883,0.926184488
PVT-5,Vegfc,0.325,0.183,1.775956284,0.011421294,0.874419125
PVT-2,Sgk3,0.119,0.067,1.776119403,0.000778252,0.969055333
PVT-1,Fbxo17,0.231,0.13,1.776923077,1.11E-09,0.833414971
PVT-5,Pou6f2,0.368,0.207,1.777777778,0.000667796,0.739354619
PVT-2,Tmem132d,0.615,0.345,1.782608696,2.70E-58,1.08848466
PVT-5,Ipcef1,0.505,0.283,1.784452297,9.85E-09,1.068719926
PVT-1,Ston2,0.225,0.126,1.785714286,4.42E-09,0.734801147
PVT-3,Gm15283,0.615,0.344,1.787790698,9.43E-20,1.252726002
PVT-3,Mtss2,0.347,0.194,1.788659794,4.40E-05,0.861676271
PVT-3,Amz1,0.347,0.194,1.788659794,8.01E-05,0.827945251
PVT-5,Cdh20,0.297,0.166,1.789156627,0.00213185,1.520570988
PVT-2,Shroom3,0.668,0.373,1.790884718,1.56E-72,1.296488743
PVT-4,Cpa6,0.405,0.226,1.792035398,2.30E-12,1.35350411
PVT-4,Gm9984,0.185,0.103,1.796116505,0.028210496,1.020668328
PVT-4,Gm11146,0.259,0.144,1.798611111,8.43E-05,1.003006863
PVT-5,Plch1,0.472,0.262,1.801526718,1.10E-07,1.004603422
PVT-3,Gm15336,0.442,0.245,1.804081633,3.21E-10,1.202318225
PVT-3,Gm17058,0.287,0.159,1.805031447,0.001482032,0.90232253
PVT-3,Kcna1,0.385,0.213,1.807511737,4.34E-07,1.045551258
PVT-4,Pde2a,0.358,0.198,1.808080808,8.24E-09,0.964546315
PVT-4,Gpr26,0.19,0.105,1.80952381,0.012403065,1.061242503
PVT-2,Tmem26,0.277,0.153,1.810457516,1.03E-17,1.144490526
PVT-5,Cobll1,0.377,0.208,1.8125,1.08E-05,1.117123733
PVT-4,Sytl2,0.477,0.263,1.813688213,1.63E-17,1.335490458
PVT-4,Gck,0.441,0.243,1.814814815,8.11E-13,0.973031652
PVT-4,Col18a1,0.198,0.109,1.816513761,0.008731882,0.905384304
PVT-4,Gm12930,0.22,0.121,1.818181818,0.002454521,0.855951618
PVT-2,Nfia,0.458,0.251,1.824701195,4.76E-51,1.71862667
PVT-1,Gm20752,0.484,0.265,1.826415094,2.40E-36,1.174935007
PVT-2,Epb41l2,0.501,0.274,1.828467153,2.09E-51,1.275499216
PVT-2,Arhgap29,0.15,0.082,1.829268293,1.99E-06,0.956685275
PVT-1,Shh,0.11,0.06,1.833333333,0.00303815,0.869465335
PVT-4,Gm50138,0.253,0.138,1.833333333,5.33E-05,0.97481465
PVT-4,Hrk,0.176,0.096,1.833333333,0.036614933,0.991787729
PVT-1,Nbl1,0.244,0.133,1.834586466,6.62E-12,0.929591596
PVT-3,Pfkfb4,0.4,0.218,1.834862385,4.00E-09,1.210068452
PVT-2,Myo1e,0.54,0.294,1.836734694,3.52E-66,1.521814203
PVT-4,Ak8,0.204,0.111,1.837837838,0.002961141,1.058070392
PVT-4,Clmp,0.204,0.111,1.837837838,0.004933045,0.845285853
PVT-3,Slc37a1,0.438,0.238,1.840336134,1.30E-09,1.064712044
PVT-3,Zdhhc23,0.313,0.17,1.841176471,0.000121106,0.903898877
PVT-3,Rras2,0.698,0.379,1.841688654,1.16E-29,1.386262285
PVT-5,Cfap46,0.269,0.146,1.842465753,0.024082834,0.915043007
PVT-5,Mctp2,0.557,0.302,1.844370861,5.35E-12,1.039267062
PVT-3,Sept9,0.358,0.194,1.845360825,3.42E-06,0.942401951
PVT-2,Rnf128,0.12,0.065,1.846153846,0.000177328,1.025884499
PVT-1,Tspan15,0.253,0.137,1.846715328,1.28E-12,0.871338735
PVT-3,Zfhx2os,0.362,0.196,1.846938776,1.69E-06,0.976032729
PVT-2,Gm15083,0.135,0.073,1.849315068,1.72E-05,0.966169942
PVT-2,Gxylt2,0.185,0.1,1.85,1.31E-09,1.146941948
PVT-4,Gm49876,0.185,0.1,1.85,0.01581329,0.980182946
PVT-3,Traf3ip2,0.426,0.23,1.852173913,1.08E-08,0.980030627
PVT-3,Dpf1,0.302,0.163,1.852760736,7.28E-05,1.011078203
PVT-3,Sik1,0.215,0.116,1.853448276,0.024782963,1.110159116
PVT-3,Plxdc1,0.219,0.118,1.855932203,0.030531757,0.972576823
PVT-3,Gm32036,0.611,0.329,1.857142857,6.08E-21,1.293966994
PVT-3,Trpc4,0.483,0.26,1.857692308,1.22E-12,1.096910944
PVT-3,Gm13052,0.725,0.39,1.858974359,1.55E-30,1.313421885
PVT-3,Mob3b,0.438,0.235,1.863829787,2.43E-11,1.258832956
PVT-5,Cd247,0.712,0.382,1.863874346,2.86E-18,0.979691168
PVT-2,Hs3st5,0.811,0.435,1.864367816,1.43E-122,1.301708505
PVT-3,Gm1604b,0.291,0.156,1.865384615,0.000183212,0.985711745
PVT-1,Gm32828,0.209,0.112,1.866071429,4.81E-10,0.871893058
PVT-2,Adam12,0.155,0.083,1.86746988,4.73E-07,0.616719169
PVT-3,Myo16,0.66,0.353,1.869688385,3.46E-30,1.630223744
PVT-1,Gpr156,0.38,0.203,1.871921182,3.18E-24,0.926266393
PVT-3,Fhad1,0.234,0.125,1.872,0.009274368,1.00129564
PVT-4,Tesc,0.234,0.125,1.872,0.000127977,0.923919429
PVT-3,Maml2,0.528,0.282,1.872340426,4.12E-17,1.497674365
PVT-3,Tspan2,0.279,0.149,1.872483221,0.000303253,0.976637759
PVT-3,Anks6,0.294,0.157,1.872611465,0.000201002,0.887260397
PVT-2,Tll1,0.766,0.409,1.872860636,9.95E-102,1.295961357
PVT-3,Eepd1,0.268,0.143,1.874125874,0.000671083,0.998291709
PVT-3,Slc41a3,0.272,0.145,1.875862069,0.000345589,1.074300916
PVT-5,Dbpht2,0.316,0.168,1.880952381,0.002540814,0.774206496
PVT-3,Cdkl3,0.547,0.29,1.886206897,3.11E-17,1.281919574
PVT-1,Catsperg2,0.119,0.063,1.888888889,0.000680617,0.743199
PVT-1,Mrvi1,0.257,0.136,1.889705882,1.80E-14,1.037969681
PVT-1,Galr1,0.344,0.182,1.89010989,1.03E-20,0.894874499
PVT-1,Gm48657,0.089,0.047,1.893617021,0.034956007,0.834714111
PVT-3,Numbl,0.332,0.175,1.897142857,1.99E-06,1.046149876
PVT-1,Nrap,0.112,0.059,1.898305085,0.000644523,0.895351328
PVT-1,Colgalt2,0.112,0.059,1.898305085,0.00066189,0.916880349
PVT-3,Gm35438.1,0.234,0.123,1.902439024,0.002278867,1.229041296
PVT-2,Chrna4,0.318,0.167,1.904191617,2.28E-24,1.170138036
PVT-1,Drd2,0.379,0.199,1.904522613,9.96E-26,0.985394218
PVT-3,Ccdc141,0.208,0.109,1.908256881,0.018934671,1.065902615
PVT-4,Cbfa2t3,0.168,0.088,1.909090909,0.014306421,1.01786365
PVT-3,Gm44257,0.317,0.166,1.909638554,5.62E-06,1.067319775
PVT-2,Adcy2,0.604,0.316,1.911392405,2.84E-75,1.45508132
PVT-3,Gm48893,0.694,0.363,1.91184573,4.75E-33,1.557435306
PVT-3,Vgf,0.381,0.199,1.914572864,1.49E-08,1.144637569
PVT-3,Gm47827,0.226,0.118,1.915254237,0.009017878,0.846125267
PVT-3,Tmem181a,0.502,0.262,1.916030534,1.08E-14,1.120076452
PVT-3,Gm15563,0.343,0.179,1.916201117,9.62E-08,1.290050324
PVT-2,Dach2,0.14,0.073,1.917808219,2.43E-07,1.49766446
PVT-2,Mctp2,0.424,0.221,1.918552036,1.25E-42,1.497077095
PVT-5,Gm32036,0.637,0.332,1.918674699,1.54E-16,1.079663303
PVT-1,Plod2,0.236,0.123,1.918699187,4.18E-13,0.93077479
PVT-1,Cxcl12,0.119,0.062,1.919354839,0.000160775,0.853045206
PVT-2,Tead1,0.263,0.137,1.919708029,5.69E-18,1.139067372
PVT-3,Cystm1,0.242,0.126,1.920634921,0.001843012,0.996605851
PVT-5,Bcl11a,0.703,0.366,1.920765027,8.30E-19,1.08464066
